Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ppg_r,ppg_b,ppg_ir,ppg_g,Subject
2024-11-19 23:09:33.023000+00:00,-0.5048856,9.611969,-1.8245274,,,,,,,,,,,1
2024-11-19 23:09:33.034000+00:00,-0.5192425,9.6574335,-1.8699911,,,,,,,,,,,1
2024-11-19 23:09:33.032000+00:00,,,,,,,,,,122334.0,168615.0,204001.0,180128.0,1
2024-11-19 23:09:33.037000+00:00,,,,,,,,,,122334.0,168615.0,204001.0,180128.0,1
2024-11-19 23:09:33.022000+00:00,,,,,,,,,,122334.0,168615.0,204001.0,180128.0,1
2024-11-19 23:09:33.009000+00:00,,,,,,,,,,122334.0,168615.0,204001.0,180128.0,1
2024-11-19 23:09:33.012000+00:00,-0.47856456,9.583255,-1.7383858,0.064751714,-0.04153884,-0.008552114,-20068.0,-2566.0,-3322.0,122334.0,168615.0,204001.0,180128.0,1
2024-11-19 23:09:33.017000+00:00,,,,,,,,,,122334.0,168615.0,204001.0,180128.0,1
2024-11-19 23:09:33.100000+00:00,-0.5096713,9.555738,-1.6761724,-0.004886922,-0.040317103,-0.009773844,-20125.0,-2556.0,-3335.0,122221.0,168516.0,203850.0,179965.0,1
2024-11-19 23:09:33.098000+00:00,-0.5096713,9.555738,-1.6761724,,,,,,,,,,,1
2024-11-19 23:09:33.110000+00:00,,,,,,,,,,122221.0,168516.0,203850.0,179965.0,1
2024-11-19 23:09:33.115000+00:00,,,,,,,,,,122221.0,168516.0,203850.0,179965.0,1
2024-11-19 23:09:33.111000+00:00,-0.5192425,9.611969,-1.6797616,,,,,,,,,,,1
2024-11-19 23:09:33.105000+00:00,,,,,,,,,,122221.0,168516.0,203850.0,179965.0,1
2024-11-19 23:09:33.122000+00:00,-0.5144569,9.616755,-1.6953149,,,,,,,,,,,1
2024-11-19 23:09:33.120000+00:00,,,,,,,,,,122221.0,168516.0,203850.0,179965.0,1
2024-11-19 23:09:33.125000+00:00,,,,,,,,,,122242.0,168492.0,203879.0,179915.0,1
2024-11-19 23:09:33.145000+00:00,,,,,,,,,,122242.0,168492.0,203879.0,179915.0,1
2024-11-19 23:09:33.150000+00:00,,,,,,,,,,122242.0,168492.0,203879.0,179915.0,1
2024-11-19 23:09:33.160000+00:00,,,,,,,,,,122242.0,168492.0,203879.0,179915.0,1
2024-11-19 23:09:33.135000+00:00,,,,,,,,,,122242.0,168492.0,203879.0,179915.0,1
2024-11-19 23:09:33.144000+00:00,-0.50608206,9.590434,-1.668994,,,,,,,,,,,1
2024-11-19 23:09:33.140000+00:00,,,,,,,,,,122242.0,168492.0,203879.0,179915.0,1
2024-11-19 23:09:33.141000+00:00,,,,0.0,-0.04153884,-0.009773844,-20157.0,-2654.0,-3375.0,,,,,1
2024-11-19 23:09:33.155000+00:00,-0.4953143,9.580863,-1.660619,,,,,,,122242.0,168492.0,203879.0,179915.0,1
2024-11-19 23:09:33.133000+00:00,-0.526421,9.620344,-1.6905292,,,,,,,,,,,1
2024-11-19 23:09:33.131000+00:00,,,,,,,,,,122242.0,168492.0,203879.0,179915.0,1
2024-11-19 23:09:33.222000+00:00,-0.5036892,9.611969,-1.6869401,,,,,,,,,,,1
2024-11-19 23:09:33.213000+00:00,,,,,,,,,,122096.0,168354.0,203708.0,179779.0,1
2024-11-19 23:09:33.228000+00:00,,,,,,,,,,122096.0,168354.0,203708.0,179779.0,1
2024-11-19 23:09:33.203000+00:00,,,,,,,,,,122150.0,168413.0,203801.0,179818.0,1
2024-11-19 23:09:33.201000+00:00,-0.48574302,9.582059,-1.7264217,,,,,,,,,,,1
2024-11-19 23:09:33.223000+00:00,,,,-0.012217305,-0.04153884,-0.012217305,-20179.0,-2536.0,-3326.0,122096.0,168354.0,203708.0,179779.0,1
2024-11-19 23:09:33.218000+00:00,,,,,,,,,,122096.0,168354.0,203708.0,179779.0,1
2024-11-19 23:09:33.208000+00:00,,,,,,,,,,122096.0,168354.0,203708.0,179779.0,1
2024-11-19 23:09:33.211000+00:00,-0.49052867,9.613166,-1.7312073,,,,,,,,,,,1
2024-11-19 23:09:33.248000+00:00,,,,,,,,,,122195.0,168397.0,203822.0,179795.0,1
2024-11-19 23:09:33.244000+00:00,-0.51804614,9.542577,-1.6151553,,,,,,,,,,,1
2024-11-19 23:09:33.243000+00:00,,,,,,,,,,122096.0,168354.0,203708.0,179779.0,1
2024-11-19 23:09:33.258000+00:00,,,,,,,,,,122195.0,168397.0,203822.0,179795.0,1
2024-11-19 23:09:33.255000+00:00,-0.52163535,9.510274,-1.6067805,,,,,,,,,,,1
2024-11-19 23:09:33.238000+00:00,,,,,,,,,,122096.0,168354.0,203708.0,179779.0,1
2024-11-19 23:09:33.263000+00:00,,,,,,,,,,122195.0,168397.0,203822.0,179795.0,1
2024-11-19 23:09:33.253000+00:00,,,,,,,,,,122195.0,168397.0,203822.0,179795.0,1
2024-11-19 23:09:33.264000+00:00,,,,0.010995574,-0.045204025,-0.02443461,-20141.0,-2533.0,-3278.0,,,,,1
2024-11-19 23:09:33.234000+00:00,-0.5048856,9.601201,-1.6498513,,,,,,,122096.0,168354.0,203708.0,179779.0,1
2024-11-19 23:09:33.289000+00:00,,,,,,,,,,122188.0,168379.0,203818.0,179799.0,1
2024-11-19 23:09:33.279000+00:00,,,,,,,,,,122195.0,168397.0,203822.0,179795.0,1
2024-11-19 23:09:33.277000+00:00,-0.5048856,9.584452,-1.6965113,,,,,,,,,,,1
2024-11-19 23:09:33.284000+00:00,,,,,,,,,,122188.0,168379.0,203818.0,179799.0,1
2024-11-19 23:09:33.294000+00:00,,,,,,,,,,122188.0,168379.0,203818.0,179799.0,1
2024-11-19 23:09:33.269000+00:00,,,,,,,,,,122195.0,168397.0,203822.0,179795.0,1
